Orijinal,Stem (Gövde),Lemma (Kök)
I.,i.,i
Devletin,devletin,devlet
şekli,şekli,şeklî
MADDE,madd,madde
1-,1-,1-
Türkiye,türkiy,Türkiye
Devleti,devleti,devlet
bir,bir,bir
Cumhuriyettir,cumhuriyettir,cumhuriyet
.,.,.
II,ii,ii
.,.,.
Cumhuriyetin,cumhuriyetin,cumhuriyet
nitelikleri,nitelikleri,nitelik
MADDE,madd,madde
2-,2-,2-
Türkiye,türkiy,Türkiye
Cumhuriyeti,cumhuriyeti,cumhuriyet
",",",",","
toplumun,toplumun,top
huzuru,huzuru,huzur
",",",",","
millî,millî,millî
dayanışma,dayanışma,dayanışmak
adalet,adalet,adalet
anlayışı,anlayışı,anlamak
içinde,içind,iç
",",",",","
insan,insan,İnsa
haklarına,haklarına,Hak
saygılı,saygılı,saygı
",",",",","
Atatürk,atatürk,Atatürk
milliyetçiliğine,milliyetçiliğin,milliyet
bağlı,bağlı,bağ
",",",",","
başlangıçta,başlangıçta,başlangıç
belirtilen,belirtilen,belirti
temel,temel,temel
ilkelere,ilkeler,İlke
dayanan,dayanan,dayanmak
",",",",","
demokratik,demokratik,demokratik
",",",",","
lâik,lâik,Laik
sosyal,sosyal,sosyal
bir,bir,bir
hukuk,hukuk,hukuk
Devletidir,devletidir,devlet
.,.,.
III,iii,iii
.,.,.
Devletin,devletin,devlet
bütünlüğü,bütünlüğü,bütün
",",",",","
resmî,resmî,resim
dili,dili,dil
",",",",","
bayrağı,bayrağı,bayrak
",",",",","
millî,millî,millî
marşı,marşı,marş
başkenti,başkenti,başkent
MADDE,madd,madde
3-,3-,3-
Türkiye,türkiy,Türkiye
Devleti,devleti,devlet
",",",",","
ülkesi,ülkesi,Ülke
milletiyle,milletiyl,millet
bölünmez,bölünmez,bölmek
bir,bir,bir
bütündür,bütündür,bütün
.,.,.
Dili,dili,dil
Türkçedir,türkçedir,Türkçe
.,.,.
Bayrağı,bayrağı,bayrak
",",",",","
şekli,şekli,şeklî
kanununda,kanununda,Kanun
belirtilen,belirtilen,belirti
",",",",","
beyaz,beyaz,beyaz
ay,ay,ay
yıldızlı,yıldızlı,yıldız
al,al,al
bayraktır,bayraktır,bayrak
.,.,.
Millî,millî,millî
marşı,marşı,marş
“,“,“
İstiklal,i̇stikl,i̇stiklal
Marşı,marşı,marş
”,”,”
dır,dır,dır
.,.,.
Başkenti,başkenti,başkent
Ankara,ankara,Ankara
’,’,’
dır,dır,dır
.,.,.
IV,iv,ivmek
.,.,.
Değiştirilemeyecek,değiştirilemeyecek,değişmek
hükümler,hükümler,hüküm
MADDE,madd,madde
4-,4-,4-
Anayasanın,anayasanın,anayasa
1,1,1
inci,inci,inci
maddesindeki,maddesindeki,madde
Devletin,devletin,devlet
şeklinin,şeklinin,şeklî
Cumhuriyet,cumhuriyet,cumhuriyet
olduğu,olduğu,olmak
hakkındaki,hakkındaki,Hak
hüküm,hüküm,hüküm
",",",",","
2,2,2
nci,nci,N
maddesindeki,maddesindeki,madde
Cumhuriyetin,cumhuriyetin,cumhuriyet
nitelikleri,nitelikleri,nitelik
3,3,3
üncü,üncü,ün
maddesi,maddesi,madde
hükümleri,hükümleri,hüküm
değiştirilemez,değiştirilemez,değişmek
değiştirilmesi,değiştirilmesi,değişmek
teklif,teklif,teklif
edilemez,edilemez,edilemez
.,.,.
V.,v.,V
Devletin,devletin,devlet
temel,temel,temel
amaç,amaç,amaç
görevleri,görevleri,görev
MADDE,madd,madde
5-,5-,5-
Devletin,devletin,devlet
temel,temel,temel
amaç,amaç,amaç
görevleri,görevleri,görev
",",",",","
Türk,türk,Türk
milletinin,milletinin,millet
bağımsızlığını,bağımsızlığını,bağımsız
bütünlüğünü,bütünlüğünü,bütün
",",",",","
ülkenin,ülkenin,Ülken
bölünmezliğini,bölünmezliğini,bölmek
",",",",","
Cumhuriyeti,cumhuriyeti,cumhuriyet
demokrasiyi,demokrasiyi,demokrasi
korumak,korumak,korumak
",",",",","
kişilerin,kişilerin,kişi
toplumun,toplumun,top
refah,refah,refah
",",",",","
huzur,huzur,huzur
mutluluğunu,mutluluğunu,mutlu
sağlamak,sağlamak,sağlamak
;,;,;
kişinin,kişinin,kişi
temel,temel,temel
hak,hak,Hak
hürriyetlerini,hürriyetlerini,hürriyet
",",",",","
sosyal,sosyal,sosyal
hukuk,hukuk,hukuk
devleti,devleti,devlet
adalet,adalet,adalet
ilkeleriyle,ilkeleriyl,İlke
bağdaşmayacak,bağdaşmayacak,bağdaşmak
surette,surett,suret
sınırlayan,sınırlayan,sınırlamak
siyasal,siyas,siya
",",",",","
ekonomik,ekonomik,ekonomik
sosyal,sosyal,sosyal
engelleri,engelleri,engel
kaldırmaya,kaldırmaya,kaldırmak
",",",",","
insanın,insanın,İnsa
maddî,maddî,maddî
manevî,manevî,manevî
varlığının,varlığının,varlık
gelişmesi,gelişmesi,gelişmek
gerekli,gerekli,gerekli
şartları,şartları,şart
hazırlamaya,hazırlamaya,hazırlamak
çalışmaktır,çalışmaktır,çalışmak
.,.,.
VI,vi,vi
.,.,.
Egemenlik,egemenlik,egemen
MADDE,madd,madde
6-,6-,6-
Egemenlik,egemenlik,egemen
",",",",","
kayıtsız,kayıtsız,kayıt
şartsız,şartsız,şart
Milletindir,milletindir,millet
.,.,.
Türk,türk,Türk
Milleti,milleti,millet
",",",",","
egemenliğini,egemenliğini,egemen
",",",",","
Anayasanın,anayasanın,anayasa
koyduğu,koyduğu,koymak
esaslara,esaslara,esas
göre,göre,göre
",",",",","
yetkili,yetkili,yetkili
organları,organları,organ
eliyle,eliyl,E
kullanır,kullanır,kul
.,.,.
